Treatment	Plant Number	Scan Side	File	Class	Root Tips	Number of Branch Points	Total Root Length (mm)	Branching Frequency	Network Area (mm^2)	Average Diameter (mm)	Median Diameter	Maximum Diameter	Perimeter	Volume	Surface Area	Diameter 1 (length)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (area)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (surface area)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (volume)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	
F13 WT	1	1	F13WT20210629_001.tif	F13_1	209	794	1581.507	0.502	658.519	0.64	0.402	4.94	2420.957	995.306	3152.473	309.657	978.744	258.531	34.576	0	47.119	451.563	393.129	111.097	0	148.029	1419.613	1235.809	349.022	0	5.801	195.536	501.775	292.194	0	
F13 WT	1	2	F13WT20210629_002.tif	F13_1_2	173	784	1388.408	0.565	609.471	0.683	0.381	6.097	2106.059	1222.788	2994.926	243.406	893.057	183.909	62.031	6.005	37.129	396.905	282.593	203.322	33.262	116.643	1246.986	888.045	638.756	104.495	4.583	164.262	365.372	543.402	145.169	
F13 WT	2	1	F13WT20210629_001.tif	F13_2	130	540	1116.862	0.483	492.507	0.67	0.458	5.032	1744.675	803.224	2341.52	145.9	767.931	171.417	31.486	0.127	22.063	356.757	252.749	112.876	0.638	69.314	1121.028	794.565	354.61	2.004	2.699	153.146	313.53	331.334	2.515	
F13 WT	2	2	F13WT20210629_002.tif	F13_2_2	155	394	954.623	0.413	466.66	0.758	0.402	5.485	1521.91	975.565	2273.775	149.924	593.286	155.543	53.835	2.035	22.267	275.533	231.103	184.016	10.737	69.954	865.72	726.265	578.103	33.732	2.676	119.499	291.456	517.397	44.537	
F13 WT	3	1	F13WT20210629_001.tif	F13_3	143	574	1201.842	0.478	506.93	0.655	0.381	5.236	1906.039	914.448	2465.205	210.106	785.442	162.877	41.129	2.289	31.402	344.835	258.823	137.819	11.633	98.652	1083.918	813.118	432.971	36.547	3.798	139.259	344.901	380.038	46.451	
F13 WT	3	2	F13WT20210629_002.tif	F13_3_2	139	602	1039.317	0.579	463.963	0.78	0.508	5.058	1474.095	977.441	2537.696	133.573	653.834	209.933	41.823	0.153	20.265	316.25	328.221	142.139	0.772	63.666	993.925	1031.136	446.544	2.426	2.487	141.839	433.308	396.751	3.056	
F13 WT	4	1	F13WT20210629_001.tif	F13_4	224	819	1657.896	0.494	664.595	0.539	0.458	4.379	2737.698	625.372	2796.884	274.889	1229.03	140.581	13.396	0	41.814	606.26	198.934	43.004	0	131.397	1905.416	624.969	135.102	0	5.152	271.923	236.22	112.076	0	
F13 WT	4	2	F13WT20210629_002.tif	F13_4_2	148	585	1234.2	0.474	549.442	0.627	0.508	3.382	1976.044	606.86	2416.419	173.132	863.235	184.606	13.228	0	26.228	443.472	261.745	37.594	0	82.396	1393.289	822.627	118.106	0	3.219	207.461	311.579	84.602	0	
F13 WT	5	1	F13WT20210629_001.tif	F13_5	116	672	1340.459	0.501	644.999	0.801	0.458	5.514	1950.705	1553.422	3379.891	174.226	884.176	187.404	88.129	6.524	26.508	417.909	298.768	297.806	34.082	83.313	1313.078	938.903	937.525	107.072	3.265	182.912	400.856	826.458	139.932	
F13 WT	5	2	F13WT20210629_002.tif	F13_5_2	93	485	863.376	0.562	466.918	0.909	0.539	6.707	1185.698	1300.724	2469.783	88.506	562.128	152.374	43.788	16.58	13.359	291.022	236.431	149.603	95.707	41.97	914.381	742.768	469.992	300.672	1.639	136.505	309.405	416.913	436.262	
F13 WT	6	1	F13WT20210629_001.tif	F13_6	132	597	1259.786	0.474	574.406	0.723	0.458	4.43	1849.37	958.336	2832.685	176.463	822.262	218.426	42.635	0	27.292	403.862	338.256	131.644	0	85.74	1269.377	1063.151	414.416	0	3.411	185.008	441.672	328.246	0	
F13 WT	6	2	F13WT20210629_002.tif	F13_6_2	104	528	1032.618	0.511	488.604	0.75	0.508	4.946	1508.147	916.361	2420.527	152.761	662.955	165.073	51.829	0	23.531	332.793	242.394	171.661	0	73.924	1045.607	761.705	539.29	0	2.931	154.789	299.42	459.221	0	
F13 WT	7	1	F13WT20210629_003.tif	F7	179	853	1662.865	0.513	703.031	0.648	0.402	5.576	2553.743	1154.592	3387.41	241.736	1147.942	221.29	47.609	4.288	36.701	527.141	339.487	152.263	22.381	115.337	1656.225	1067.189	478.348	70.312	4.516	222.544	437.766	397.951	91.815	
F13 WT	7	2	F13WT20210629_004.tif	F7_2	151	779	1332.524	0.585	594.217	0.774	0.508	4.443	1820.204	1154.614	3211.853	161.076	862.258	255.428	53.762	0	24.312	417.955	416.832	163.163	0	76.414	1313.045	1309.803	512.591	0	2.974	185.335	569.609	396.695	0	
F13 WT	8	1	F13WT20210629_003.tif	F8	101	451	1057.185	0.427	536.281	0.797	0.524	5.842	1603.532	1070.945	2634.957	107.944	722.354	180.428	40.373	6.086	16.491	374.2	275.416	139.389	33.238	51.807	1175.584	865.244	437.903	104.42	2.038	176.658	356.947	392.431	142.871	
F13 WT	8	2	F13WT20210629_004.tif	F8_2	98	449	966.42	0.465	527.777	0.902	0.635	6.427	1436.854	1305.42	2712.757	84.294	672.022	142.705	55.575	11.823	12.714	371.445	220.415	193.148	65.378	39.944	1167.312	692.455	607.655	205.391	1.552	182.529	286.914	549.226	285.198	
F13 WT	9	1	F13WT20210629_003.tif	F9	128	340	809.572	0.42	348.741	0.68	0.381	5.777	1323.456	779.439	1731.854	121.575	567.192	80.223	33.214	7.369	18.599	254.781	117.682	120.404	39.488	58.429	800.962	370.146	378.262	124.055	2.301	107.007	145.427	358.22	166.484	
F13 WT	9	2	F13WT20210629_004.tif	F9_2	117	377	842.49	0.447	345.701	0.607	0.381	5.058	1397.429	539.329	1590.564	174.419	533.385	114.239	19.988	0.46	26.306	237.154	165.827	74.642	2.319	82.678	745.149	520.96	234.493	7.284	3.213	98.67	200.477	227.789	9.181	
F13 WT	11	1	F13WT20210629_003.tif	F11	192	766	1503.502	0.509	642.567	0.697	0.402	5.594	2268.348	1336.391	3267.808	179.511	1087.679	163.374	66.849	6.089	27.442	502.228	241.147	236.374	32.527	86.211	1577.886	758.117	743.409	102.185	3.398	213.889	300.652	681.853	136.6	
F13 WT	11	2	F13WT20210629_004.tif	F11_2	198	905	1658.866	0.546	710.349	0.68	0.402	6.017	2507.268	1372.825	3523.833	194.967	1207.235	184.288	65.683	6.693	30.151	550.477	281.82	222.729	36.166	94.721	1730.024	885.743	699.725	113.62	3.768	231.291	365.176	618.679	153.911	
F13 WT	12	1	F13WT20210629_003.tif	F12	135	567	1173.856	0.483	488.765	0.573	0.458	3.789	1888.58	472.899	2087.031	130.932	899.556	134.61	8.757	0	20.185	430.007	186.523	27.555	0	63.414	1351.07	585.979	86.568	0	2.518	187.645	213.605	69.13	0	
F13 WT	12	2	F13WT20210629_004.tif	F12_2	137	514	1047.549	0.491	434.177	0.557	0.458	3.137	1712.22	377.326	1810.581	117.611	807.852	117.386	4.7	0	17.985	387.602	157.377	13.245	0	56.537	1217.816	494.619	41.609	0	2.227	169.227	176.43	29.442	0	
F13 WT	13	1	F13WT20210629_006.tif	F13	176	782	1500.817	0.521	758.644	0.772	0.539	3.818	2196.401	1182.515	3620.443	164.068	953.729	342.956	40.065	0	25.014	481.409	530.427	115.168	0	78.583	1512.876	1667.172	361.812	0	3.084	225.83	690.71	262.891	0	
F13 WT	13	2	F13WT20210629_006.tif	F13__2	195	833	1676.908	0.497	829.196	0.742	0.524	3.818	2494.749	1219.315	3884.421	179.471	1109.367	348.185	39.885	0	27.379	558.58	535.472	114.683	0	86.013	1755.101	1683.019	360.287	0	3.379	260.231	693.843	261.861	0	
F13 WT	14	1	F13WT20210629_006.tif	F14	112	386	916.932	0.421	603.914	1.137	0.635	5.991	1355.194	1939.776	3220.639	101.188	501.864	199.687	106.308	7.886	15.435	254.01	319.34	393.365	42.957	48.489	798.167	1003.237	1235.792	134.954	1.904	118.109	429.619	1205.835	184.309	
F13 WT	14	2	F13WT20210629_006.tif	F14_2	121	385	918.576	0.419	492.447	0.859	0.524	5.904	1366.48	1050.875	2450.597	108.899	570.134	180.065	55.01	4.468	16.684	285.436	279.476	174.06	24.34	52.414	896.893	877.999	546.825	76.466	2.068	130.85	365.879	447.657	104.421	
F13 WT	15	1	F13WT20210629_006.tif	F15	148	480	1136.131	0.422	482.555	0.602	0.402	3.75	1865.376	599.845	2129.159	168.223	807.748	137.053	23.107	0	25.875	372.328	208.25	71.221	0	81.289	1169.887	654.235	223.748	0	3.218	157.86	264.176	174.59	0	
F13 WT	15	2	F13WT20210629_006.tif	F15_2	156	488	1196.967	0.408	508.305	0.594	0.402	3.75	1986.892	611.457	2215.926	176.091	860.715	137.053	23.107	0	27.027	398.761	208.25	71.221	0	84.908	1253.035	654.235	223.748	0	3.355	169.335	264.176	174.59	0	
F13 Mutant	1	1	F13Mutant20210629_001.tif	FM1	80	507	848.626	0.597	431.709	0.901	0.635	5.39	1083.445	1068.131	2396.63	86.801	517.834	190.651	45.886	7.455	12.935	268.575	293.739	148.876	38.54	40.636	843.879	923.33	467.709	121.077	1.563	127.52	383.325	399.165	156.559	
F13 Mutant	1	2	F13Mutant20210629_002.tif	FM1_2	71	307	568.83	0.54	333.979	1.048	0.635	5.909	743.741	1036.12	1878.684	63.892	312.262	130.217	54.978	7.481	9.744	157.439	202.852	187.481	39.979	30.611	494.722	637.968	589.785	125.598	1.202	72.939	265.59	528.221	168.168	
F13 Mutant	2	2	F13Mutant20210629_002.tif	FM2_2	114	664	1223.055	0.543	526.717	0.709	0.458	5.816	1788.847	1051.009	2692.462	181.255	812.772	183.851	38.751	6.425	27.585	380.229	280.476	133.594	34.728	86.661	1194.899	881.357	420.443	109.101	3.396	164.494	358.853	376.609	147.657	
F13 Mutant	3	1	F13Mutant20210629_001.tif	FM2	108	462	1110.126	0.416	517.568	0.784	0.458	6.482	1675.608	1360.7	2764.514	137.308	750.607	152.861	53.016	16.333	20.819	358.696	225.829	183.346	91.254	65.403	1126.967	709.464	575.997	286.681	2.555	156.515	280.132	519.035	402.463	
F13 Mutant	3	2	F13Mutant20210629_002.tif	FM3_2	96	526	874.849	0.601	378.874	0.704	0.458	4.932	1246.604	648.896	1920.658	102.655	601.733	142.793	27.669	0	15.486	288.782	215.503	91.503	0	48.687	907.234	677.272	287.465	0	1.893	125.685	272.841	248.477	0	
F13 Mutant	4	1	F13Mutant20210629_001.tif	FM4	104	430	1039.229	0.414	442.031	0.632	0.381	4.968	1679.428	695.38	2045.704	149.17	728.471	134.733	26.856	0	22.836	321.526	208.575	98.154	0	71.74	1010.345	655.259	308.359	0	2.828	129.426	269.724	293.401	0	
F13 Mutant	4	2	F13Mutant20210629_002.tif	FM4_2	120	352	879.484	0.4	421.342	0.753	0.402	6.107	1412.708	1006.835	2080.442	135.773	581.996	107.658	44.465	9.592	20.694	266.785	164.916	157.399	52.312	65.011	838.507	518.097	494.483	164.344	2.552	113.867	212.775	452.922	224.72	
F13 Mutant	5	1	F13Mutant20210629_001.tif	FM5	67	485	978.513	0.496	500.374	0.831	0.524	6.223	1377.111	1107.117	2535.081	77.265	676.541	167.493	49.501	7.713	11.543	336.259	251.023	165.105	42.698	36.3	1056.668	789.282	518.693	134.139	1.406	151.992	315.834	451.6	186.285	
F13 Mutant	5	2	F13Mutant20210629_002.tif	FM5_2	85	459	1014.309	0.453	513.596	0.844	0.508	5.909	1438.823	1211.578	2672.147	95.855	676.991	178.456	58.164	4.842	14.805	328.897	273.977	206.062	26.556	46.511	1033.59	860.724	647.895	83.428	1.848	145.191	353.735	596.148	114.656	
F13 Mutant	6	1	F13Mutant20210629_001.tif	FM6	68	291	629.45	0.462	399.116	1.107	0.762	5.388	791.467	1128.828	2186.375	43.413	331.898	200.431	48.971	4.737	6.599	170.706	315.521	178.309	24.81	20.731	536.288	991.239	560.175	77.942	0.811	80.78	413.933	531.211	102.093	
F13 Mutant	6	2	F13Mutant20210629_002.tif	FM6_2	102	552	990.427	0.557	472.874	0.789	0.458	5.474	1385.245	1094.146	2434.2	128.991	641.889	162.776	50.155	6.616	19.814	303.311	238.699	177.759	34.994	62.248	952.971	750.599	558.446	109.936	2.462	134.172	295.353	516.708	145.452	
F13 Mutant	7	1	F13Mutant20210629_003.tif	FM7	118	727	1239.653	0.586	571.499	0.731	0.508	5.12	1818.952	958.851	2829.135	142.565	836.018	221.729	38.665	0.677	21.212	411.238	343.243	121.354	3.418	66.639	1292.183	1078.329	381.245	10.738	2.554	185.079	446.983	310.675	13.561	
F13 Mutant	7	2	F13Mutant20210629_004.tif	FM7_2	112	517	1035.094	0.499	533.346	0.774	0.524	3.772	1566.664	839.973	2501.178	103.184	681.561	216.934	33.415	0	15.451	341.785	340.072	98.427	0	48.542	1074.031	1068.572	310.034	0	1.872	156.025	450.735	231.342	0	
F13 Mutant	8	1	F13Mutant20210629_003.tif	FM8	143	691	1359.881	0.508	593.6	0.711	0.458	5.981	2014.165	1323.877	3022.184	215.782	918.485	161.292	50.233	14.09	32.844	437.38	242.805	170.094	78.798	103.183	1374.288	762.796	534.366	247.552	4.045	192.225	308.981	471.75	346.875	
F13 Mutant	8	2	F13Mutant20210629_004.tif	FM8_2	127	657	1213.115	0.542	534.245	0.713	0.458	5.182	1765.144	980.183	2680.464	146.401	838.779	182.892	42.124	2.919	22.486	398.385	273.228	144.122	14.821	70.678	1251.675	858.777	452.773	46.561	2.801	172.674	341.719	403.887	59.102	
F13 Mutant	9	1	F13Mutant20210629_003.tif	FM9	129	362	952.426	0.38	495.459	0.82	0.458	6.799	1500.312	1335.215	2443.292	128.699	632.135	125.111	47.726	18.755	19.672	295.187	189.452	163.207	109.893	61.8	927.938	595.587	512.73	345.238	2.431	126.327	240.115	457.082	509.26	
F13 Mutant	9	2	F13Mutant20210629_004.tif	FM9_2	122	420	979.216	0.429	492.753	0.833	0.402	6.988	1542.675	1671.115	2603.059	152.524	646.185	98.028	55.444	27.034	23.431	292.263	151.823	199.396	161.425	73.61	918.93	476.967	626.42	507.132	2.91	121.392	196.936	586.474	763.403	
F13 Mutant	10	1	F13Mutant20210629_003.tif	FM10	109	517	949.184	0.545	422.596	0.645	0.508	3.937	1449.43	510.694	1907.989	140.95	636.407	159.878	11.949	0	21.546	321.492	229.495	34.799	0	67.688	1009.998	720.978	109.324	0	2.666	151.253	275.637	81.137	0	
F13 Mutant	10	2	F13Mutant20210629_004.tif	FM10_2	80	232	663.033	0.35	356.354	0.795	0.508	5.883	1086.147	737.632	1656.311	71.363	453.059	103.758	29.535	5.319	11.001	230.997	146.424	110.411	28.296	34.561	725.697	460.291	346.866	88.895	1.372	106.961	173.366	337.406	118.527	
F13 Mutant	11	1	F13Mutant20210629_003.tif	FM11	22	188	380.719	0.494	162.5	0.693	0.508	3.059	545.48	233.934	810.373	64.061	239.503	71.79	5.366	0	9.723	122.422	111.368	14.403	0	30.545	384.705	349.874	45.249	0	1.199	56.822	145.446	30.469	0	
F13 Mutant	11	2	F13Mutant20210629_004.tif	FM11_2	29	85	257.104	0.331	131.205	0.753	0.524	3.81	403.072	211.413	600.234	51.648	141.472	53.442	10.543	0	8.146	73.828	75.811	33.275	0	25.592	231.938	238.168	104.535	0	1.036	35.793	90.848	83.735	0	
F13 Mutant	12	1	F13Mutant20210629_003.tif	FM12	108	478	1017.585	0.47	457.483	0.672	0.508	3.363	1535.558	609.843	2127.281	147.957	675.26	177.441	16.927	0	22.804	337.074	269.758	47.44	0	71.641	1059.133	847.469	149.038	0	2.841	155.853	346.023	105.127	0	
F13 Mutant	12	2	F13Mutant20210629_004.tif	FM12_2	81	303	748.123	0.405	378.737	0.743	0.508	5.68	1168.855	663.495	1742.183	68.144	535.08	117.895	21.85	5.155	10.434	272.94	166.597	76.672	27.788	32.779	857.522	523.709	240.873	87.299	1.293	126.455	197.097	220.903	117.748	
F13 Mutant	13	1	F13Mutant20210629_005.tif	FM13	168	551	1180.75	0.467	532.93	0.718	0.458	5.207	1827.888	964.595	2623.38	138.817	822.674	174.456	43.681	1.121	20.87	389.546	268.564	150.198	5.728	65.564	1224.238	843.719	471.862	17.996	2.539	167.353	348.123	423.593	22.988	
F13 Mutant	13	2	F13Mutant20210629_006.tif	FM13_2	180	683	1505.213	0.454	640.083	0.66	0.402	6.615	2382.002	1283.671	3120.915	232.271	1047.337	168.473	48.704	8.427	35.458	481.459	247.121	180.809	48.421	111.393	1512.783	776.591	568.029	152.118	4.384	205.037	305.108	549.275	219.868	
F13 Mutant	14	1	F13Mutant20210629_005.tif	FM14	149	777	1536.674	0.506	671.43	0.689	0.458	5.798	2324.267	1194.152	3301.86	206.996	1069.098	209.159	47.551	3.87	31.731	516.118	317.353	164.903	20.777	99.687	1621.432	997.412	518.059	65.271	3.944	229.186	406.45	466.787	87.784	
F13 Mutant	14	2	F13Mutant20210629_006.tif	FM14_2	171	728	1458.604	0.499	682.922	0.72	0.524	4.72	2152.938	1070.473	3270.853	161.591	1002.844	251.784	42.385	0	24.57	506.337	369.997	140.138	0	77.188	1591.03	1162.38	440.255	0	3.027	234.544	456.427	376.474	0	
F13 Mutant	15	1	F13Mutant20210629_005.tif	FM15	200	676	1565.557	0.432	724.418	0.713	0.458	5.496	2440.732	1381.343	3497.71	207.804	1085.54	190.935	78.286	2.992	31.914	509.926	292.353	263.138	15.332	100.259	1601.979	919.103	826.672	49.697	3.967	218.66	376.936	716.023	65.758	
F13 Mutant	15	2	F13Mutant20210629_006.tif	FM15_2	119	359	849.656	0.423	469.785	0.985	0.524	6.269	1218.904	1488.371	2649.793	93.302	500.008	177.941	64.609	13.795	13.842	245.987	272.849	235.483	75.226	43.486	773.005	857.182	739.791	236.329	1.665	111.471	349.921	702.07	323.244	
GHu WT	1	1	GHuWildType20210629_001.tif	GHu1	70	333	762.998	0.436	477.418	1.094	0.635	7.679	1076.239	1706.246	2632.427	53.055	479.666	150.79	54.374	25.113	7.925	253.028	237.766	184.913	154.296	24.896	794.911	746.965	580.922	484.734	0.958	119.647	316.154	513.949	755.538	
GHu WT	1	2	GHuWildType20210629_002.tif	GHu1_2	68	426	872.706	0.488	511.842	0.961	0.568	6.202	1227.089	1416.151	2625.472	82.375	554.534	159.987	61.658	14.152	12.45	280.659	249.531	212.985	80.077	39.15	881.717	783.925	669.111	251.568	1.525	129.96	328.952	598.566	357.148	
